Date : 2021-08-23 17:03:12
Directory : /Users/Yuriy/projects/hotel
Total : 465 files,  93791 codes, 11753 comments, 15340 blanks, all 120884 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/controls/css/postSortControls.module.css                          | CSS        |         11 |          0 |          0 |         11 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/css/postForm.module.css                                           | CSS        |         50 |          0 |          3 |         53 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/css/postsControls.module.css                                      | CSS        |          8 |          0 |          2 |         10 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/css/postsIndexContainer.module.css                                | CSS        |         40 |          0 |          4 |         44 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/view_all/PostPreview.js                                           | JavaScript |         72 |          6 |          5 |         83 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/view_all/ViewAllCard.js                                           | JavaScript |         50 |          5 |          4 |         59 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/view_all/ViewAllPosts.js                                          | JavaScript |         55 |          5 |          5 |         65 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/view_all/css/postPreview.module.css                               | CSS        |         78 |          0 |          5 |         83 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/posts/view_all/css/viewAllCard.module.css                               | CSS        |         22 |          0 |          3 |         25 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/rooms/EditRoomDisplay.js                                                | JavaScript |         57 |          5 |          6 |         68 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/rooms/FileInput.js                                                      | JavaScript |         78 |          5 |         11 |         94 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/rooms/RoomDisplay.js                                                    | JavaScript |        152 |          6 |          7 |        165 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/rooms/RoomForm.js                                                       | JavaScript |        479 |         25 |         24 |        528 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/rooms/RoomHolder.js                                                     | JavaScript |         47 |          4 |          4 |         55 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/rooms/RoomsIndexContainer.js                                            | JavaScript |        171 |         12 |         15 |        198 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/rooms/css/defaultDisplay.module.css                                     | CSS        |          4 |          0 |          0 |          4 |
